list,mask,target_type,prime,prime_trig,target_lower,target,target_trig,audio,audio_trig,cresp,ITI,block,subblock,orig_order
NA,YWVQBGMX,NA,insect,240,pants,PANTS,242,eat,241,5,448,NA,NA,1
NA,GYGJJBDF,NA,weapon,240,run,RUN,243,un,241,6,200,NA,NA,2
NA,YJWFVJKV,NA,solid,240,web,WEB,244,ob,241,5,254,NA,NA,3
NA,JNVSTKTY,NA,coffee,240,map,MAP,245,app,241,6,416,NA,NA,4
NA,CPKQPMYY,NA,tiger,240,fan,FAN,246,an,241,6,379,NA,NA,5
NA,FFHSBHLK,NA,garden,240,bed,BED,247,ed,241,6,367,NA,NA,6
NA,GDBBCXCM,NA,apple,240,desk,DESK,248,ask,241,5,342,NA,NA,7
NA,GKFYJTYT,NA,circus,240,moon,MOON,249,in,241,5,238,NA,NA,8
NA,VFDFJVVR,NA,album,240,salt,SALT,250,alt,241,6,227,NA,NA,9
NA,LDHYHQDC,NA,fungus,240,rain,RAIN,251,on,241,5,353,NA,NA,10
