"ITI","acc","accuracy","audio","audio_trig","average_response_time","avg_rt","background","block","block_number","break_num","canvas_backend","clock_backend","color_backend","correct","correct_joystick_continue","correct_joystick_response","correct_keyboard_response","count_ExperimentInstructions","count_FinishedPractice","count_ITI","count_M18_A_v2","count_PracticeInstructions","count_about_this_template","count_audio","count_audio_trigger","count_block_loop","count_block_sequence","count_break_feedback","count_controllerInstructions","count_end_of_experiment","count_end_of_practice","count_experiment_end","count_experimental_loop","count_feedback","count_inc_counter","count_increment_blocknum","count_instructions","count_joystick_continue","count_joystick_response","count_keyboard_response","count_load_audio","count_logger","count_mask","count_new_inline_script","count_open_port","count_practice_end","count_practice_loop","count_prime","count_prime_trigger","count_reset_feedback","count_response_screen","count_response_trigger_trial","count_set_blocknum_experiment","count_set_blocknum_practice","count_set_variables","count_sketchpad","count_target","count_target_trigger","count_trial_sequence","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","list","live_row","live_row_block_loop","live_row_practice_loop","logfile","mask","message","mouse_backend","opensesame_codename","opensesame_version","orig_order","practice","prime","prime_trig","repeat_cycle","response","response_end_of_experiment","response_end_of_practice","response_experiment_end","response_feedback","response_instructions","response_joystick_continue","response_joystick_response","response_keyboard_response","response_time","response_time_end_of_experiment","response_time_end_of_practice","response_time_experiment_end","response_time_feedback","response_time_instructions","response_time_joystick_continue","response_time_joystick_response","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus_file","subblock","subject_nr","subject_parity","target","target_lower","target_trig","target_type","time_ExperimentInstructions","time_FinishedPractice","time_ITI","time_M18_A_v2","time_PracticeInstructions","time_about_this_template","time_audio","time_audio_trigger","time_block_loop","time_block_sequence","time_break_feedback","time_controllerInstructions","time_end_of_experiment","time_end_of_practice","time_experiment_end","time_experimental_loop","time_feedback","time_inc_counter","time_increment_blocknum","time_instructions","time_joystick_continue","time_joystick_response","time_keyboard_response","time_load_audio","time_logger","time_mask","time_new_inline_script","time_open_port","time_practice_end","time_practice_loop","time_prime","time_prime_trigger","time_reset_feedback","time_response_screen","time_response_trigger_trial","time_set_blocknum_experiment","time_set_blocknum_practice","time_set_variables","time_sketchpad","time_target","time_target_trigger","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"200","undefined","undefined","un","241","425","425","#3d3846","NA","2","the end of the practice block","xpyriment","legacy","legacy","undefined","NA","NA","undefined","0","NA","0","0","0","NA","0","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","4","NA","0","0","NA","NA","NA","0","0","NA","0","0","NA","0","0","0","NA","0","NA","0","6","Tue Oct 15 00:27:09 2024","A template containing a practice and an experimental phase","no","Newexperiment.osexp","/Users/jmorris/Git/SOURCECODE_M18","no","mono","no","18","no","white","no","no","768","legacy","NA","0","0","0","/Users/jmorris/Git/SOURCECODE_M18/quickrun.csv","GYGJJBDF","If you have any questions about the experiment, please ask the researchers now.  Once you are ready, you can press any button to continue.","xpyriment","Melodramatic Milgram","4.0.29","2","yes","weapon","240","0","space","NA","NA","NA","NA","NA","NA","NA","space","425.0","NA","NA","NA","NA","NA","NA","NA","425","2","legacy","1024","2","48000","-16","M18_A_v2","A_practice_block.csv","NA","999","odd","RUN","run","243","NA","NA","NA","4277","1155","2039","NA","3353","NA","2712","2712","NA","1221","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3849","NA","4477","2801","NA","NA","NA","2705","3305","NA","NA","3849","NA","NA","2705","2712","NA","3353","NA","2798","New experiment","0","425.0","1","no","1024"
"416","undefined","undefined","app","241","422","422","#3d3846","NA","2","the end of the practice block","xpyriment","legacy","legacy","undefined","NA","NA","undefined","0","NA","1","0","0","NA","1","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","5","NA","1","1","NA","NA","NA","0","1","NA","0","1","NA","0","0","0","NA","1","NA","1","6","Tue Oct 15 00:27:09 2024","A template containing a practice and an experimental phase","no","Newexperiment.osexp","/Users/jmorris/Git/SOURCECODE_M18","no","mono","no","18","no","white","no","no","768","legacy","NA","1","1","0","/Users/jmorris/Git/SOURCECODE_M18/quickrun.csv","JNVSTKTY","If you have any questions about the experiment, please ask the researchers now.  Once you are ready, you can press any button to continue.","xpyriment","Melodramatic Milgram","4.0.29","4","yes","coffee","240","0","space","NA","NA","NA","NA","NA","NA","NA","space","419.0","NA","NA","NA","NA","NA","NA","NA","419","2","legacy","1024","2","48000","-16","M18_A_v2","A_practice_block.csv","NA","999","odd","MAP","map","245","NA","NA","NA","6055","1155","2039","NA","5136","NA","2712","2712","NA","1221","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5634","NA","6471","4588","NA","NA","NA","2705","5087","NA","NA","5634","NA","NA","2705","2712","NA","5136","NA","4587","New experiment","0","844.0","2","no","1024"
"342","undefined","undefined","ask","241","422","422","#3d3846","NA","2","the end of the practice block","xpyriment","legacy","legacy","undefined","NA","NA","undefined","0","NA","2","0","0","NA","2","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","6","NA","2","2","NA","NA","NA","0","2","NA","0","2","NA","0","0","0","NA","2","NA","2","5","Tue Oct 15 00:27:09 2024","A template containing a practice and an experimental phase","no","Newexperiment.osexp","/Users/jmorris/Git/SOURCECODE_M18","no","mono","no","18","no","white","no","no","768","legacy","NA","2","2","0","/Users/jmorris/Git/SOURCECODE_M18/quickrun.csv","GDBBCXCM","If you have any questions about the experiment, please ask the researchers now.  Once you are ready, you can press any button to continue.","xpyriment","Melodramatic Milgram","4.0.29","7","yes","apple","240","0","space","NA","NA","NA","NA","NA","NA","NA","space","422.0","NA","NA","NA","NA","NA","NA","NA","422","2","legacy","1024","2","48000","-16","M18_A_v2","A_practice_block.csv","NA","999","odd","DESK","desk","248","NA","NA","NA","8041","1155","2039","NA","7118","NA","2712","2712","NA","1221","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7616","NA","8383","6576","NA","NA","NA","2705","7072","NA","NA","7616","NA","NA","2705","2712","NA","7118","NA","6574","New experiment","0","1266.0","3","no","1024"
"254","undefined","undefined","ob","241","376","376","#3d3846","NA","2","the end of the practice block","xpyriment","legacy","legacy","undefined","NA","NA","undefined","0","NA","3","0","0","NA","3","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","7","NA","3","3","NA","NA","NA","0","3","NA","0","3","NA","0","0","0","NA","3","NA","3","5","Tue Oct 15 00:27:09 2024","A template containing a practice and an experimental phase","no","Newexperiment.osexp","/Users/jmorris/Git/SOURCECODE_M18","no","mono","no","18","no","white","no","no","768","legacy","NA","3","3","0","/Users/jmorris/Git/SOURCECODE_M18/quickrun.csv","YJWFVJKV","If you have any questions about the experiment, please ask the researchers now.  Once you are ready, you can press any button to continue.","xpyriment","Melodramatic Milgram","4.0.29","3","yes","solid","240","0","space","NA","NA","NA","NA","NA","NA","NA","space","241.0","NA","NA","NA","NA","NA","NA","NA","241","2","legacy","1024","2","48000","-16","M18_A_v2","A_practice_block.csv","NA","999","odd","WEB","web","244","NA","NA","NA","9784","1155","2039","NA","9041","NA","2712","2712","NA","1221","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9540","NA","10038","8495","NA","NA","NA","2705","8994","NA","NA","9539","NA","NA","2705","2712","NA","9041","NA","8493","New experiment","0","1507.0","4","no","1024"
"353","undefined","undefined","on","241","340","340","#3d3846","NA","2","the end of the practice block","xpyriment","legacy","legacy","undefined","NA","NA","undefined","0","NA","4","0","0","NA","4","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","8","NA","4","4","NA","NA","NA","0","4","NA","0","4","NA","0","0","0","NA","4","NA","4","5","Tue Oct 15 00:27:09 2024","A template containing a practice and an experimental phase","no","Newexperiment.osexp","/Users/jmorris/Git/SOURCECODE_M18","no","mono","no","18","no","white","no","no","768","legacy","NA","4","4","0","/Users/jmorris/Git/SOURCECODE_M18/quickrun.csv","LDHYHQDC","If you have any questions about the experiment, please ask the researchers now.  Once you are ready, you can press any button to continue.","xpyriment","Melodramatic Milgram","4.0.29","10","yes","fungus","240","0","space","NA","NA","NA","NA","NA","NA","NA","space","195.0","NA","NA","NA","NA","NA","NA","NA","195","2","legacy","1024","2","48000","-16","M18_A_v2","A_practice_block.csv","NA","999","odd","RAIN","rain","251","NA","NA","NA","11399","1155","2039","NA","10705","NA","2712","2712","NA","1221","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11202","NA","11752","10158","NA","NA","NA","2705","10657","NA","NA","11202","NA","NA","2705","2712","NA","10705","NA","10156","New experiment","0","1702.0","5","no","1024"
"448","undefined","undefined","eat","241","318","318","#3d3846","NA","2","the end of the practice block","xpyriment","legacy","legacy","undefined","NA","NA","undefined","0","NA","5","0","0","NA","5","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","9","NA","5","5","NA","NA","NA","0","5","NA","0","5","NA","0","0","0","NA","5","NA","5","5","Tue Oct 15 00:27:09 2024","A template containing a practice and an experimental phase","no","Newexperiment.osexp","/Users/jmorris/Git/SOURCECODE_M18","no","mono","no","18","no","white","no","no","768","legacy","NA","5","5","0","/Users/jmorris/Git/SOURCECODE_M18/quickrun.csv","YWVQBGMX","If you have any questions about the experiment, please ask the researchers now.  Once you are ready, you can press any button to continue.","xpyriment","Melodramatic Milgram","4.0.29","1","yes","insect","240","0","space","NA","NA","NA","NA","NA","NA","NA","space","208.0","NA","NA","NA","NA","NA","NA","NA","208","2","legacy","1024","2","48000","-16","M18_A_v2","A_practice_block.csv","NA","999","odd","PANTS","pants","242","NA","NA","NA","13131","1155","2039","NA","12415","NA","2712","2712","NA","1221","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12921","NA","13579","11868","NA","NA","NA","2705","12367","NA","NA","12921","NA","NA","2705","2712","NA","12415","NA","11864","New experiment","0","1910.0","6","no","1024"
"367","undefined","undefined","ed","241","301","301","#3d3846","NA","2","the end of the practice block","xpyriment","legacy","legacy","undefined","NA","NA","undefined","0","NA","6","0","0","NA","6","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","10","NA","6","6","NA","NA","NA","0","6","NA","0","6","NA","0","0","0","NA","6","NA","6","6","Tue Oct 15 00:27:09 2024","A template containing a practice and an experimental phase","no","Newexperiment.osexp","/Users/jmorris/Git/SOURCECODE_M18","no","mono","no","18","no","white","no","no","768","legacy","NA","6","6","0","/Users/jmorris/Git/SOURCECODE_M18/quickrun.csv","FFHSBHLK","If you have any questions about the experiment, please ask the researchers now.  Once you are ready, you can press any button to continue.","xpyriment","Melodramatic Milgram","4.0.29","6","yes","garden","240","0","space","NA","NA","NA","NA","NA","NA","NA","space","198.0","NA","NA","NA","NA","NA","NA","NA","198","2","legacy","1024","2","48000","-16","M18_A_v2","A_practice_block.csv","NA","999","odd","BED","bed","247","NA","NA","NA","14941","1155","2039","NA","14242","NA","2712","2712","NA","1221","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14741","NA","15308","13700","NA","NA","NA","2705","14196","NA","NA","14741","NA","NA","2705","2712","NA","14242","NA","13699","New experiment","0","2108.0","7","no","1024"
"227","undefined","undefined","alt","241","289","289","#3d3846","NA","2","the end of the practice block","xpyriment","legacy","legacy","undefined","NA","NA","undefined","0","NA","7","0","0","NA","7","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","11","NA","7","7","NA","NA","NA","0","7","NA","0","7","NA","0","0","0","NA","7","NA","7","6","Tue Oct 15 00:27:09 2024","A template containing a practice and an experimental phase","no","Newexperiment.osexp","/Users/jmorris/Git/SOURCECODE_M18","no","mono","no","18","no","white","no","no","768","legacy","NA","7","7","0","/Users/jmorris/Git/SOURCECODE_M18/quickrun.csv","VFDFJVVR","If you have any questions about the experiment, please ask the researchers now.  Once you are ready, you can press any button to continue.","xpyriment","Melodramatic Milgram","4.0.29","9","yes","album","240","0","space","NA","NA","NA","NA","NA","NA","NA","space","205.0","NA","NA","NA","NA","NA","NA","NA","205","2","legacy","1024","2","48000","-16","M18_A_v2","A_practice_block.csv","NA","999","odd","SALT","salt","250","NA","NA","NA","16662","1155","2039","NA","15956","NA","2712","2712","NA","1221","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16456","NA","16889","15409","NA","NA","NA","2705","15907","NA","NA","16455","NA","NA","2705","2712","NA","15956","NA","15407","New experiment","0","2313.0","8","no","1024"
"379","undefined","undefined","an","241","280","280","#3d3846","NA","2","the end of the practice block","xpyriment","legacy","legacy","undefined","NA","NA","undefined","0","NA","8","0","0","NA","8","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","12","NA","8","8","NA","NA","NA","0","8","NA","0","8","NA","0","0","0","NA","8","NA","8","6","Tue Oct 15 00:27:09 2024","A template containing a practice and an experimental phase","no","Newexperiment.osexp","/Users/jmorris/Git/SOURCECODE_M18","no","mono","no","18","no","white","no","no","768","legacy","NA","8","8","0","/Users/jmorris/Git/SOURCECODE_M18/quickrun.csv","CPKQPMYY","If you have any questions about the experiment, please ask the researchers now.  Once you are ready, you can press any button to continue.","xpyriment","Melodramatic Milgram","4.0.29","5","yes","tiger","240","0","space","NA","NA","NA","NA","NA","NA","NA","space","210.0","NA","NA","NA","NA","NA","NA","NA","210","2","legacy","1024","2","48000","-16","M18_A_v2","A_practice_block.csv","NA","999","odd","FAN","fan","246","NA","NA","NA","18258","1155","2039","NA","17546","NA","2712","2712","NA","1221","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","18044","NA","18637","17001","NA","NA","NA","2705","17499","NA","NA","18044","NA","NA","2705","2712","NA","17546","NA","16998","New experiment","0","2523.0","9","no","1024"
"238","undefined","undefined","in","241","256","256","#3d3846","NA","2","the end of the practice block","xpyriment","legacy","legacy","undefined","NA","NA","undefined","0","NA","9","0","0","NA","9","NA","0","0","NA","0","NA","NA","NA","0","NA","NA","0","NA","NA","NA","13","NA","9","9","NA","NA","NA","0","9","NA","0","9","NA","0","0","0","NA","9","NA","9","5","Tue Oct 15 00:27:09 2024","A template containing a practice and an experimental phase","no","Newexperiment.osexp","/Users/jmorris/Git/SOURCECODE_M18","no","mono","no","18","no","white","no","no","768","legacy","NA","9","9","0","/Users/jmorris/Git/SOURCECODE_M18/quickrun.csv","GKFYJTYT","If you have any questions about the experiment, please ask the researchers now.  Once you are ready, you can press any button to continue.","xpyriment","Melodramatic Milgram","4.0.29","8","yes","circus","240","0","space","NA","NA","NA","NA","NA","NA","NA","space","37.0","NA","NA","NA","NA","NA","NA","NA","37","2","legacy","1024","2","48000","-16","M18_A_v2","A_practice_block.csv","NA","999","odd","MOON","moon","249","NA","NA","NA","19834","1155","2039","NA","19295","NA","2712","2712","NA","1221","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","19794","NA","20072","18749","NA","NA","NA","2705","19249","NA","NA","19794","NA","NA","2705","2712","NA","19295","NA","18748","New experiment","0","2560.0","10","no","1024"
